Vibration_X_wavelet_mean,Force_X_wavelet_mean,Force_Z_wavelet_entropy,Vibration_Z_wavelet_scale_1_ratio,Force_Z_wavelet_scale_1_ratio,Vibration_Y_wavelet_scale_8_ratio,Force_Y_wp_add_std,Force_Y_impulse_factor,cut_num,wear_VB_avg
4658.360750419581,10949.850199234656,4.272186209251862,3.178442390180072e-06,3.4690614419901707e-06,0.0001774426937896,0.0445042140770501,4.364872323050062,1,29.102065713
5264.5035726883925,14876.13596432163,3.7866457843475816,1.837155019093034e-06,2.1026851491966336e-06,5.035320899687305e-05,0.0367943793942711,3.473268663413312,2,37.72371373666667
5676.020114692579,19939.960041692768,3.711189557631033,2.0847464208273457e-06,2.1799908224559365e-06,6.540772279684006e-05,0.0296210593912192,2.9505746827712858,3,46.30597344
4200.5152762318685,20246.641957067077,3.857775680749134,1.949639249002062e-06,2.482911051667588e-06,4.9105418518718405e-05,0.0302990295639743,3.13257075238723,4,54.852358863333336
1792.4517662485005,21393.076258451332,3.7299181185079897,2.236973255741244e-06,2.2803219383833978e-06,3.543132705672015e-05,0.0232321816859714,2.901895262959897,5,56.62552062
4128.758385958639,21525.549487283817,3.734657093643925,1.9587703677566422e-06,2.02727699201374e-06,3.297387849827824e-05,0.0302457380217562,3.1951302197093066,6,58.36924524666666
5132.830463547141,21541.874034693858,3.6997781955746465,1.8384313367271596e-06,2.145769732994716e-06,3.427010360695574e-05,0.0337276971817998,2.9936061791850124,7,60.08647039666666
5037.26220758278,19689.161109704713,3.6858869052165057,2.0058501222404822e-06,1.851038904653348e-06,3.354178312278434e-05,0.0370554298188325,2.9020429230545335,8,61.77995583999999
5215.6381248328835,18069.898003721228,3.748633382238348,1.8439354667935944e-06,1.8948252628529872e-06,4.148744636555336e-05,0.0352001919322758,4.1187207503924,9,63.99136847333333
7536.029344058144,16849.16923373345,3.763662304773594,2.090459236754952e-06,1.9450320338386186e-06,5.5619551820013624e-05,0.0297670499444468,3.4858032030350117,10,66.18405450333334
