,PC1,PC2,PC3,PC4,PC5
Force_X_wavelet_scale_1_ratio,0.21181920329199705,0.21680612558149095,-0.14397675303509283,0.1819720524489533,-0.0723742514531628
Force_X_wavelet_scale_16_ratio,0.21743089658464765,0.06985409535272792,-0.2793327714526088,-0.04349828933804425,-0.04050189750329296
Force_X_wp_ada_entropy,0.21651015367034498,0.1470686469866503,-0.18621825251151503,0.2142105816145343,-0.0957039212351278
Force_X_wavelet_scale_8_ratio,0.19587656385672564,0.2809388393216951,-0.05434880479663106,0.2847857852046834,-0.12622836352189395
Force_X_peak2peak,0.2357860577680451,0.031110454082480962,-0.08112821379659435,-0.07477491637085834,0.13718806098430467
Vibration_Y_wavelet_scale_16_ratio,0.12121166767515593,0.3876727021794986,0.3211044306042729,-0.25923686900239307,0.1426322481763467
Force_X_wp_aad_entropy,0.20452976640537332,-0.12392082651665405,-0.14251948594987157,-0.40955355929424636,-0.03883564883033238
Force_X_impulse_factor,0.22776593635563577,0.06255128771811372,-0.15525072306171186,-0.009420651567504441,0.3531852695501625
Force_X_min,-0.22696398559691522,0.01255403627503543,0.0005375770493489775,0.1962517321799835,0.26341303762072454
Force_X_wp_add_entropy,0.2151843371276345,0.025108655557477336,0.1089727919984358,0.41670661263003483,0.0034419511357528317
Vibration_X_wavelet_scale_16_ratio,0.21252323627737857,-0.23177701964450265,0.14903352073357934,-0.06332914388197408,-0.07602107111331444
Vibration_X_wavelet_scale_32_ratio,-0.1963671492996461,0.23228205508591718,-0.2751709005638843,-0.05535874580830033,-0.1865728763320525
Force_X_kurtosis,0.19937639429810242,0.1072704279460309,-0.29953720299510295,-0.09216746243627263,0.570664817830824
Vibration_Y_wavelet_scale_32_ratio,-0.14607689537201732,-0.3782988552241477,-0.276721787210706,0.22570118636439201,-0.008032332496616387
Force_Z_wavelet_std,-0.2327600038529644,0.11477727957210078,-0.031506688747868286,0.04709240136552161,0.06580056941419865
Force_X_wavelet_entropy,0.21991840339767343,0.09857483133086432,-0.25490400414002684,-0.09098564345313236,-0.045116187910574014
Force_X_freq_std,-0.22973642413032275,0.018999678854586425,-0.0473042529119089,0.13974476145100803,0.011357239812012558
Force_Y_skewness,0.21890818269889453,-0.19857883100351775,0.025762469160973064,-0.12501325107243116,-0.23282180314955997
Force_Z_kurtosis,-0.13228586869717648,0.34529150319754864,0.3735586605643565,-0.20679581453502363,0.07152224318134799
Vibration_X_skewness,-0.21734612421372784,0.18285906454398052,-0.07569354372602663,0.16330986000889933,0.3272894949730993
Force_X_wp_dad_std,0.20498085473668545,-0.10852332976427477,0.23504498977030694,0.35698842657803265,0.13466299293015532
Vibration_X_wavelet_entropy,0.16264400498159523,-0.2909030797464499,0.34835020132019523,0.1254404991561401,0.2877284907649245
Force_Z_wp_add_entropy,0.18165016165885026,0.30209250908915325,0.15630827300187317,0.22199635476261712,-0.3009535136773614
Force_X_freq_mean,0.2157213531473291,-0.1046006450354146,0.13503179499866808,-0.10569207521418147,0.04977506549548653
