Force_X_wavelet_scale_1_ratio,Force_X_wavelet_scale_16_ratio,Force_X_wp_ada_entropy,Force_X_wavelet_scale_8_ratio,Force_X_peak2peak,Vibration_Y_wavelet_scale_16_ratio,Force_X_wp_aad_entropy,Force_X_impulse_factor,Force_X_min,Force_X_wp_add_entropy,Vibration_X_wavelet_scale_16_ratio,Vibration_X_wavelet_scale_32_ratio,Force_X_kurtosis,Vibration_Y_wavelet_scale_32_ratio,Force_Z_wavelet_std,Force_X_wavelet_entropy,Force_X_freq_std,Force_Y_skewness,Force_Z_kurtosis,Vibration_X_skewness,Force_X_wp_dad_std,Vibration_X_wavelet_entropy,Force_Z_wp_add_entropy,Force_X_freq_mean,wear_VB_avg,cut_num
0.8532879862214369,0.4160198765519035,0.6458161034398471,0.7988314112390275,0.6930514634286539,0.6819295572896197,0.9085470069229924,0.4765874201231265,0.0938470388115228,0.5871245553477753,0.7266385471671831,0.0,0.2310538443752219,0.0,0.0,0.8920670191054852,0.2795715808885813,0.8901258601580656,1.0,0.358866056171341,0.6793728857041614,0.7493354429795035,0.6099588637798969,0.8140284123505392,24.216036683333332,1
0.8532879862214369,0.4160198765519035,0.6458161034398471,0.7988314112390275,0.6930514634286539,0.6819295572896197,0.9085470069229924,0.4765874201231265,0.0938470388115228,0.5871245553477753,0.7266385471671831,0.0,0.2310538443752219,0.0,0.0,0.8920670191054852,0.2795715808885813,0.8901258601580656,1.0,0.358866056171341,0.6793728857041614,0.7493354429795035,0.6099588637798969,0.8140284123505392,27.76392575666667,2
1.0,0.5528639450716768,0.9691902165535168,1.0,0.6550818210117205,0.7218579593184038,0.7781355133559286,0.500087674098292,0.112043079250709,1.0,0.7423567052189021,0.0107885258891879,0.3595310421041836,0.0136907250421269,0.7426231372779003,1.0,0.3873274893595027,0.8806276797872873,0.7482969917134704,0.451126533310846,1.0,0.7820962278774667,1.0,0.5882926974283704,31.05812474,3
0.579143216558117,0.5607404631661986,0.6641738225164024,0.5274300334471779,0.6042455110902298,0.775830065118487,1.0,0.4673561665298182,0.1797970908338664,0.5803753337282391,0.8424173020407008,0.0696975494518125,0.4457988637559208,0.0666642692858652,0.8710062697069084,0.9344996441491912,0.447114024519526,0.9565471761783536,0.5812494057994124,0.2231556476070216,0.6578881046812342,0.9538756783067592,0.4426884974481506,0.5282799306348517,34.11272657,4
0.5505127200909183,0.6292505482446267,0.7125333814619685,0.4893300635255594,0.5965472489044199,0.7788602455045572,0.9131630682560712,0.5246259107367596,0.39467297992557,0.6679069720182692,0.8390606678580257,0.0636331088759304,0.3315724594987121,0.0644273454349829,1.0,0.948624653505644,0.3233873709594895,0.7968012366368699,0.5919875017128888,0.3593670510426896,0.7116074354372335,0.96363937499242,0.3578288683095807,0.6559437045965337,36.941260623333335,5
0.3947639699737528,0.5954331782357065,0.6025550547434434,0.3187831267305037,0.5797392415357697,0.8250535764372545,0.9096458964710094,0.4424028303113678,0.2911210363703275,0.5022715874066448,0.892419071506914,0.0878804646584424,0.3281258259493912,0.0819779391154732,0.792634063740246,0.900510594254134,0.3623128283034736,0.8541385101478399,0.5215779982225476,0.201818224824643,0.5710346054342708,0.984883101234109,0.2039824522107517,0.6133448841620461,39.55670907333333,6
0.3852522302735128,0.6163683488977545,0.6235041006633171,0.307230496900692,0.6415203204037377,0.880114615148527,0.8892417900296926,0.5310142409313107,0.2804208174086617,0.5287993439617834,0.914973525094784,0.0868333456434614,0.3822771465044973,0.0739287308868217,0.7855103962118382,0.9045483159047972,0.3696417336204289,0.8845501891324331,0.4604515258723592,0.2030741735321224,0.5876371852569149,0.9835722097272784,0.1911614035269991,0.6137136376632222,41.97152295666667,7
0.3624840558209111,0.6304506840985384,0.589434432676029,0.2799831026759727,0.6158417199457691,0.8645632548481906,0.9129990664455088,0.5595236003228802,0.3839537343804308,0.5001221447533117,0.9015269430168844,0.0823757770621853,0.4034771325049717,0.0615610622215329,0.7501393583499049,0.9022263921027766,0.3532941375317511,0.8938820306410611,0.4196496933663365,0.1600154378834763,0.5568252459709218,0.9899992748827644,0.1648315906343732,0.6247283793547841,44.19763785333333,8
0.3352865914881909,0.6838084686888557,0.7814294909108579,0.2392171317936669,0.9227304827775812,0.8410607660352926,0.7759764051120641,0.8572105973667851,0.0284460004360954,0.6479951677557433,0.9181147972808232,0.0500018923100402,0.8639643256688104,0.0302854425689298,0.7527053878096053,0.9099176899194048,0.1983467395788096,0.96186887007996,0.4302326455689768,0.2091257035747895,0.6896222521226272,0.9978102794039564,0.150014050180595,0.8380038822144924,46.246489266666664,9
0.328244049722118,0.6838042068674551,0.7266768935958661,0.2262867588299963,0.8617674443749999,0.8278007594159521,0.797845983434669,0.7794463404886243,0.050179079315983,0.6272018562239765,0.9154897968288414,0.0532985695564996,0.8399583559984647,0.0266222992459736,0.692577824420217,0.9066081449005372,0.2083337312755134,0.9683511946601492,0.3444992208461099,0.2369159061246019,0.646426047947195,1.0,0.1304404062431591,0.8153596819681354,48.12902763333333,10
